Player ID,Full Name,First Name,Last Name,Rating,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg)
1641747,DaRon Holmes II,DaRon,Holmes II,0.0,,,,,,,,,
1630527,Brandon Boston,Brandon,Boston,86.61,32.0,252.7,72.0,41.7,24.3,5.7,41.9,74.9,34.4
1641707,Taylor Hendricks,Taylor,Hendricks,85.1,21.5,153.0,100.0,17.0,16.5,17.0,33.6,77.2,31.4
1630598,Aaron Wiggins,Aaron,Wiggins,90.96,74.7,645.0,230.3,100.0,51.7,17.3,52.1,81.7,42.3
1630283,Kylor Kelley,Kylor,Kelley,57.33,7.3,22.7,26.0,3.3,0.7,2.0,61.6,58.9,0.0
1629021,Moritz Wagner,Moritz,Wagner,89.56,55.7,618.0,251.3,74.0,33.3,15.3,55.4,79.1,33.4
1631101,Shaedon Sharpe,Shaedon,Sharpe,88.72,61.3,878.0,240.0,128.7,42.7,17.3,44.3,77.4,33.5
1631095,Jabari Smith Jr.,Jabari,Smith Jr.,89.39,70.7,917.3,528.0,94.0,40.0,58.7,43.3,80.7,34.1
1626158,Richaun Holmes,Richaun,Holmes,86.62,23.7,143.0,119.7,22.3,6.7,14.0,58.8,75.0,11.1
1642403,Isaac Jones,Isaac,Jones,89.02,40.0,134.0,57.0,12.0,5.0,10.0,65.1,63.9,37.5
1628467,Maxi Kleber,Maxi,Kleber,86.79,38.0,171.3,124.3,54.3,12.7,25.7,42.4,72.5,32.0
1629048,Goga Bitadze,Goga,Bitadze,87.7,51.0,294.0,266.0,78.0,30.0,60.0,57.8,58.4,17.9
