Player ID,Full Name,First Name,Last Name,Rating,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg)
1630173,Precious Achiuwa,Precious,Achiuwa,86.99,43.7,314.7,268.0,50.7,31.0,36.7,49.5,60.3,27.2
203500,Steven Adams,Steven,Adams,86.49,58.7,371.3,524.0,139.7,41.0,44.7,56.3,45.6,0.0
1628389,Bam Adebayo,Bam,Adebayo,89.91,74.7,1435.3,724.7,285.0,89.0,60.0,51.5,77.5,26.6
1630534,Ochai Agbaji,Ochai,Agbaji,87.3,47.3,374.0,152.7,60.3,35.0,24.7,43.8,69.0,31.6
1630583,Santi Aldama,Santi,Aldama,88.97,67.7,720.3,379.7,141.0,46.7,43.7,46.3,68.7,35.7
1641725,Trey Alexander,Trey,Alexander,71.26,24.0,32.0,12.0,11.0,2.0,1.0,31.7,75.0,17.6
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,89.36,66.7,552.0,163.7,167.7,46.0,30.0,45.5,75.7,39.1
1628960,Grayson Allen,Grayson,Allen,90.39,70.3,814.7,242.0,175.7,61.7,26.0,46.2,86.6,42.9
1628386,Jarrett Allen,Jarrett,Allen,90.05,75.7,1114.3,758.3,160.3,61.3,79.3,66.1,73.1,3.3
1630631,Jose Alvarado,Jose,Alvarado,88.18,57.7,508.7,135.0,187.3,66.7,13.0,40.5,76.6,35.7
203937,Kyle Anderson,Kyle,Anderson,87.6,40.7,238.0,137.3,96.7,26.7,22.0,47.1,73.1,35.2
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,89.49,67.7,2072.3,793.7,422.7,65.7,69.3,58.8,64.0,25.7
1630175,Cole Anthony,Cole,Anthony,89.6,69.3,782.7,267.7,220.7,48.7,33.3,43.8,84.8,35.2
1628384,OG Anunoby,OG,Anunoby,88.13,41.3,688.3,188.7,90.3,59.3,33.7,48.4,77.3,38.0
1642379,Taran Armstrong,Taran,Armstrong,0.0,,,,,,,,,
1630166,Deni Avdija,Deni,Avdija,89.75,74.3,1006.0,516.3,259.3,65.3,33.3,47.3,75.3,34.5
1629028,Deandre Ayton,Deandre,Ayton,88.76,54.0,899.7,560.7,89.7,41.3,44.7,57.5,75.0,19.3
1630542,Marcus Bagley,Marcus,Bagley,84.3,10.0,67.0,70.0,10.0,9.0,12.0,39.1,80.0,15.6
1628963,Marvin Bagley III,Marvin,Bagley III,81.47,20.7,90.7,56.0,7.3,6.0,5.3,51.3,65.9,15.6
1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,67.1,16.0,35.3,16.7,2.0,2.0,1.3,68.6,33.3,69.6
1630163,LaMelo Ball,LaMelo,Ball,87.32,35.0,849.3,192.0,275.3,46.7,9.3,41.6,84.8,35.7
1628366,Lonzo Ball,Lonzo,Ball,87.37,41.7,508.0,190.3,203.0,64.3,26.3,40.1,78.2,38.2
1628964,Mo Bamba,Mo,Bamba,85.82,21.3,92.0,96.7,12.0,6.0,20.7,45.8,79.5,19.3
1631094,Paolo Banchero,Paolo,Banchero,88.72,66.0,1477.3,465.3,306.3,55.7,38.0,44.5,73.0,31.9
1630217,Desmond Bane,Desmond,Bane,89.57,56.3,1190.3,298.0,284.3,59.7,24.0,47.6,88.2,39.4
1630625,Dalano Banton,Dalano,Banton,86.48,40.3,372.0,104.3,95.7,25.3,18.0,39.1,76.9,25.3
1631230,Dominick Barlow,Dominick,Barlow,86.55,32.0,134.0,100.0,26.3,10.3,16.3,52.1,68.2,19.7
203084,Harrison Barnes,Harrison,Barnes,90.93,82.0,1080.3,308.3,121.0,50.0,12.0,48.5,81.9,39.8
1630567,Scottie Barnes,Scottie,Barnes,89.03,67.3,1207.3,502.7,370.7,83.7,70.7,45.9,76.9,29.8
1629628,RJ Barrett,RJ,Barrett,87.44,38.7,797.7,227.0,169.0,25.7,13.0,48.1,69.7,35.8
1629646,Charles Bassey,Charles,Bassey,87.39,30.0,139.7,140.3,28.7,12.7,26.7,65.0,68.8,12.5
1641734,Emoni Bates,Emoni,Bates,63.64,12.5,39.0,10.5,9.0,1.0,1.5,32.4,12.5,33.5
1642419,Jamison Battle,Jamison,Battle,89.36,59.0,419.0,158.0,53.0,17.0,10.0,42.9,88.9,40.5
201587,Nicolas Batum,Nicolas,Batum,89.23,65.0,315.0,235.7,111.7,48.3,36.0,44.9,74.6,40.9
1641878,Damion Baugh,Damion,Baugh,81.22,15.0,109.0,50.0,56.0,15.0,2.0,32.3,86.7,21.4
203078,Bradley Beal,Bradley,Beal,89.29,52.0,1008.7,201.7,243.7,51.7,29.3,50.5,81.9,39.4
1627736,Malik Beasley,Malik,Beasley,89.32,72.0,987.0,233.7,113.3,58.7,7.3,42.3,74.5,39.6
1630699,MarJon Beauchamp,MarJon,Beauchamp,58.82,11.7,26.3,14.7,3.7,1.3,0.3,47.0,75.0,40.0
1641736,Reece Beekman,Reece,Beekman,79.52,24.0,62.0,26.0,42.0,22.0,1.3,54.9,50.8,11.7
1630180,Saddiq Bey,Saddiq,Bey,88.18,46.7,641.7,257.7,70.0,40.3,8.0,43.0,85.3,35.4
1629048,Goga Bitadze,Goga,Bitadze,87.7,51.0,294.0,266.0,78.0,30.0,60.0,57.8,58.4,17.9
202687,Bismack Biyombo,Bismack,Biyombo,84.46,22.7,106.0,122.3,28.0,9.0,20.0,57.8,45.9,0.0
1641710,Anthony Black,Anthony,Black,89.14,73.5,526.0,184.5,165.5,60.5,34.5,44.4,68.7,35.6
203992,Bogdan Bogdanović,Bogdan,Bogdanović,87.65,36.0,388.7,106.0,97.3,27.3,7.3,42.4,87.9,36.4
1629626,Bol Bol,Bol,Bol,89.23,49.7,367.0,215.3,36.0,16.3,45.0,56.2,77.2,34.4
1641737,Adem Bona,Adem,Bona,88.92,58.0,337.0,245.0,27.0,26.0,69.0,70.3,67.0,0.0
1626164,Devin Booker,Devin,Booker,89.94,65.3,1745.0,284.3,431.3,59.7,20.7,48.2,87.8,34.9
1630527,Brandon Boston,Brandon,Boston,86.61,32.0,252.7,72.0,41.7,24.3,5.7,41.9,74.9,34.4
1628449,Chris Boucher,Chris,Boucher,89.11,58.7,512.0,284.0,28.3,28.3,37.7,49.7,77.2,34.0
1631123,Jamaree Bouyea,Jamaree,Bouyea,45.07,4.7,12.7,8.0,7.0,1.7,0.7,48.4,22.2,40.0
1628396,Tony Bradley,Tony,Bradley,87.28,27.0,81.0,79.7,11.3,4.3,14.3,57.6,66.3,31.1
1631103,Malaki Branham,Malaki,Branham,89.21,62.7,532.7,126.7,107.0,23.7,5.7,44.3,84.0,35.1
1631128,Christian Braun,Christian,Braun,90.4,79.0,726.0,299.0,132.0,56.0,29.7,51.2,71.5,37.8
1641779,Jalen Bridges,Jalen,Bridges,20.03,8.0,9.0,4.0,0.0,0.0,0.0,28.6,75.0,28.6
1628969,Mikal Bridges,Mikal,Bridges,90.2,73.3,1338.3,291.3,268.7,73.7,39.3,46.6,84.2,37.1
1628970,Miles Bridges,Miles,Bridges,89.76,71.0,1454.0,515.0,259.7,61.0,48.3,46.1,83.2,33.1
1629052,Oshae Brissett,Oshae,Brissett,86.63,42.0,217.0,133.3,30.7,18.7,8.0,43.9,63.0,30.5
